,Mã lớp,Mã HP,Tên HP,Ghi chú,Nhóm,Đợt,Tuần,Thứ,Ngày thi,Kíp thi,SLĐK,Phòng thi,Mã lớp Mã HP,Unnamed: 0,Tên HP Ghi chú,Unnamed: 1,Kíp thi Phòng thi,Unnamed: 2,Ghi chú Nhóm,Tên HP Ghi chú Nhóm
0,116532,BF2020,Technical Writing and Presentation,Sinh học-K62C,TC,AB,T45,Thứ tư,01.07.2020,Kíp 3,,D5-103,,,,,,,,
1,117235,BF2020,Technical Writing and Presentation,Thực phẩm-K62C,TC,AB,T45,Thứ tư,01.07.2020,Kíp 3,,D5-103,,,,,,,,
2,115084,BF2511,Nhập môn Công nghệ thực phẩm,"Thực phẩm 01,02-K64S",TC,AB,T45,Thứ ba,30.06.2020,Kíp 3,,D6-208,,,,,,,,
3,115084,BF2511,Nhập môn Công nghệ thực phẩm,"Thực phẩm 01,02-K64S",Thực phẩm  02-K64,AB,T45,Thứ ba,30.06.2020,Kíp 3,,D6-208,,,,,,,,
4,115084,BF2511,Nhập môn Công nghệ thực phẩm,"Thực phẩm 01,02-K64S",Thực phẩm  01-K64,AB,T45,Thứ ba,30.06.2020,Kíp 3,,D6-208,,,,,,,,
5,115085,BF2511,Nhập môn Công nghệ thực phẩm,"Thực phẩm 03,04-K64S",Thực phẩm  03-K64,AB,T45,Thứ ba,30.06.2020,Kíp 3,,D6-306,,,,,,,,
6,115085,BF2511,Nhập môn Công nghệ thực phẩm,"Thực phẩm 03,04-K64S",Thực phẩm  04-K64,AB,T45,Thứ ba,30.06.2020,Kíp 3,,D6-306,,,,,,,,
7,115085,BF2511,Nhập môn Công nghệ thực phẩm,"Thực phẩm 03,04-K64S",TC,AB,T45,Thứ ba,30.06.2020,Kíp 3,,D6-306,,,,,,,,
8,115100,BF2701,Nhập môn kỹ thuật sinh học,"Sinh học 01,02-K64S",Kỹ thuật sinh học  02-K64,AB,T45,Thứ ba,30.06.2020,Kíp 3,,D6-407,,,,,,,,
9,115100,BF2701,Nhập môn kỹ thuật sinh học,"Sinh học 01,02-K64S",Kỹ thuật sinh học  01-K64,AB,T45,Thứ ba,30.06.2020,Kíp 3,,D6-407,,,,,,,,
